2022-02-22 23:14:51.351 [main] INFO  by.mishastoma.customarray.service.CustomArrayServiceImpl - Average: {0}
2022-02-22 23:15:38.136 [main] INFO  App - Message
2022-02-22 23:15:38.139 [main] INFO  by.mishastoma.customarray.service.CustomArraySortImpl - Gnome sort finished. Sorted array is: [-7, 0, 3, 4, 5, 5, 7, 8, 10, 11]
2022-02-22 23:15:38.140 [main] INFO  by.mishastoma.customarray.service.CustomArraySortImpl - Bubble sort finished. Sorted array is: [-7, 0, 3, 4, 5, 5, 7, 8, 10, 11]
2022-02-22 23:15:38.140 [main] INFO  by.mishastoma.customarray.service.CustomArraySortImpl - Selection sort finished. Sorted array is: [-7, 0, 3, 4, 5, 5, 7, 8, 10, 11]
2022-02-22 23:15:38.140 [main] INFO  by.mishastoma.customarray.service.CustomArrayServiceImpl - Sum of elements: 46
2022-02-22 23:15:38.143 [main] INFO  by.mishastoma.customarray.service.CustomArrayServiceImpl - Average: 4,600000
2022-02-22 23:15:38.145 [main] INFO  by.mishastoma.customarray.service.CustomArrayServiceImpl - Average: 4.6
2022-02-22 23:16:06.667 [main] INFO  App - Message
2022-02-22 23:16:06.670 [main] INFO  by.mishastoma.customarray.service.CustomArraySortImpl - Gnome sort finished. Sorted array is: [-7, 0, 3, 4, 5, 5, 7, 8, 10, 11]
2022-02-22 23:16:06.670 [main] INFO  by.mishastoma.customarray.service.CustomArraySortImpl - Bubble sort finished. Sorted array is: [-7, 0, 3, 4, 5, 5, 7, 8, 10, 11]
2022-02-22 23:16:06.670 [main] INFO  by.mishastoma.customarray.service.CustomArraySortImpl - Selection sort finished. Sorted array is: [-7, 0, 3, 4, 5, 5, 7, 8, 10, 11]
2022-02-22 23:16:06.670 [main] INFO  by.mishastoma.customarray.service.CustomArrayServiceImpl - Sum of elements: 46
2022-02-22 23:16:06.673 [main] INFO  by.mishastoma.customarray.service.CustomArrayServiceImpl - Average: 4,600000
2022-02-22 23:16:06.674 [main] INFO  by.mishastoma.customarray.service.CustomArrayServiceImpl - Average: {0,1}
2022-02-22 23:16:21.076 [main] INFO  App - Message
2022-02-22 23:16:21.079 [main] INFO  by.mishastoma.customarray.service.CustomArraySortImpl - Gnome sort finished. Sorted array is: [-7, 0, 3, 4, 5, 5, 7, 8, 10, 11]
2022-02-22 23:16:21.079 [main] INFO  by.mishastoma.customarray.service.CustomArraySortImpl - Bubble sort finished. Sorted array is: [-7, 0, 3, 4, 5, 5, 7, 8, 10, 11]
2022-02-22 23:16:21.079 [main] INFO  by.mishastoma.customarray.service.CustomArraySortImpl - Selection sort finished. Sorted array is: [-7, 0, 3, 4, 5, 5, 7, 8, 10, 11]
2022-02-22 23:16:21.079 [main] INFO  by.mishastoma.customarray.service.CustomArrayServiceImpl - Sum of elements: 46
2022-02-22 23:16:21.082 [main] INFO  by.mishastoma.customarray.service.CustomArrayServiceImpl - Average: 4,600000
2022-02-22 23:16:21.083 [main] INFO  by.mishastoma.customarray.service.CustomArrayServiceImpl - Average: {0}, {1}
2022-02-22 23:16:31.285 [main] INFO  App - Message
2022-02-22 23:16:31.287 [main] INFO  by.mishastoma.customarray.service.CustomArraySortImpl - Gnome sort finished. Sorted array is: [-7, 0, 3, 4, 5, 5, 7, 8, 10, 11]
